NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
FACULDADE DE TECNOLOGIA DE JAHU (FATEC-JAHU),-22.3143979,-48.5481977,FATEC-JAHU,www.fatecjahu.edu.br,,Rua Frei Galvão - S/N - CEP: 17212-599 - JARDIM PEDRO OMETTO,red
FACULDADE DE TECNOLOGIA DE JALES (FATEC JALES),-20.2762413,-50.540596,Fatec Jales,www.fatecjales.edu.br,,Rua Vicente Leporace - 2630 - CEP: 15703-116 - Jardim Trianon,red
FACULDADE DE TECNOLOGIA DE JUNDIAÍ (FATEC/JD),-23.1814575,-46.8829765,FATEC/JD,www.fatecjd.edu.br,,Avenida União dos Ferroviários - 1760 - CEP: 13201-160 - Centro,red
FACULDADE DE TECNOLOGIA DE MATÃO,-21.624281,-48.3480814,-,,,Avenida Habib Gabriel - 1360 - CEP: 15990-539 - Residencial das Acácias,red
FACULDADE DE TECNOLOGIA DE MAUÁ (FATEC MAUÁ),-23.6636053,-46.4601248,FATEC MAUÁ,www.fatecmaua.com.br,,Avenida Antônia Rosa Fioravanti - 804 - CEP: 09390-120 - Jardim Rosina,red
FACULDADE DE TECNOLOGIA DE MOCOCA (FATEC),-21.4831994,-47.0082631999999,FATEC,http://fatecmococa.edu.br,,Avenida Américo Pereira Lima - S/N - CEP: 13736-260 - Jardim Lavínia,red
FACULDADE DE TECNOLOGIA DE MOGI DAS CRUZES (FATEC-MC),-23.5079621,-46.1889046999999,FATEC-MC,www.fatecmogidascruzes.com.br,,Rua Carlos Baratino - 01 - CEP: 08773-600 - Vila Mogilar,red
FACULDADE DE TECNOLOGIA DE OSASCO - PREFEITO HIRANT SANAZAR (FATEC OSASCO),-23.5225422,-46.7582018,Fatec Osasco,,,Rua Pedro Rissatto - 30 - CEP: 06296-220 - Remédios,red
FACULDADE DE TECNOLOGIA DE OURINHOS (FATEC),-22.9507677,-49.8961666,FATEC,www.fatecourinhos.edu.br,,Avenida Vitalina Marcusso - 1400 - CEP: 19910-206 - Campus Universitário,red
FACULDADE DE TECNOLOGIA DE PINDAMONHANGABA (FATEC PI),-22.905199,-45.4145507,FATEC PI,www.fatecpindamonhangaba.edu.br,,Rodovia Abel Fabrício Dias - 4010 - CEP: 12455-010 - Água Preta,red
FACULDADE DE TECNOLOGIA DE PIRACICABA (FATEC PIRACICABA),-22.6927792,-47.6251879,Fatec Piracicaba,www.fatecpiracicaba.edu.br,,Rua Diácono Jair de Oliveira - 651 - CEP: 13414-155 - Santa Rosa,red
